id	popularity	frequency_short	units_short	seasonal_adjustment_short	name	title
113371	0	M		NSA	FORTREASPOS19992	Foreign Portfolio Holdings of U.S. Long-Term and Short-Term Treasury Securities: Total Europe
113430	0	M		NSA	FORTREASPOS72907	Foreign Portfolio Holdings of U.S. Long-Term and Short-Term Treasury Securities: Total International Orgs.
113432	0	M		NSA	FORTREASPOS79995	Foreign Portfolio Holdings of U.S. Long-Term and Short-Term Treasury Securities: Total IROs
113398	0	M		NSA	FORTREASPOS39942	Foreign Portfolio Holdings of U.S. Long-Term and Short-Term Treasury Securities: Total Latin America
113431	1	M		NSA	FORTREASPOS76929	Foreign Portfolio Holdings of U.S. Long-Term and Short-Term Treasury Securities: Total Regional Orgs.
111592	0	M		NSA	FORLTCORPPOS59994	Foreign Portfolio Holdings of U.S. Long-Term Corporate Bonds: Total Africa
111581	1	M		NSA	FORLTCORPPOS49999	Foreign Portfolio Holdings of U.S. Long-Term Corporate Bonds: Total Asia
111540	1	M		NSA	FORLTCORPPOS34401	Foreign Portfolio Holdings of U.S. Long-Term Corporate Bonds: Total Caribbean
111518	0	M		NSA	FORLTCORPPOS19992	Foreign Portfolio Holdings of U.S. Long-Term Corporate Bonds: Total Europe
111599	0	M		NSA	FORLTCORPPOS72907	Foreign Portfolio Holdings of U.S. Long-Term Corporate Bonds: Total International Orgs.
111601	0	M		NSA	FORLTCORPPOS79995	Foreign Portfolio Holdings of U.S. Long-Term Corporate Bonds: Total IROs
111556	1	M		NSA	FORLTCORPPOS39942	Foreign Portfolio Holdings of U.S. Long-Term Corporate Bonds: Total Latin America
111557	1	M		NSA	FORLTCORPPOS39993	Foreign Portfolio Holdings of U.S. Long-Term Corporate Bonds: Total Latin America and Caribbean
111600	0	M		NSA	FORLTCORPPOS76929	Foreign Portfolio Holdings of U.S. Long-Term Corporate Bonds: Total Regional Orgs.
112904	1	M		NSA	FORLTTREASPOS59994	Foreign Portfolio Holdings of U.S. Long-Term Treasury Securities: Total Africa
112891	2	M		NSA	FORLTTREASPOS49999	Foreign Portfolio Holdings of U.S. Long-Term Treasury Securities: Total Asia
112847	2	M		NSA	FORLTTREASPOS34401	Foreign Portfolio Holdings of U.S. Long-Term Treasury Securities: Total Caribbean
112825	2	M		NSA	FORLTTREASPOS19992	Foreign Portfolio Holdings of U.S. Long-Term Treasury Securities: Total Europe
112911	3	M		NSA	FORLTTREASPOS72907	Foreign Portfolio Holdings of U.S. Long-Term Treasury Securities: Total International Orgs.
112913	1	M		NSA	FORLTTREASPOS79995	Foreign Portfolio Holdings of U.S. Long-Term Treasury Securities: Total IROs
112863	0	M		NSA	FORLTTREASPOS39942	Foreign Portfolio Holdings of U.S. Long-Term Treasury Securities: Total Latin America
112864	2	M		NSA	FORLTTREASPOS39993	Foreign Portfolio Holdings of U.S. Long-Term Treasury Securities: Total Latin America and Caribbean
112912	2	M		NSA	FORLTTREASPOS76929	Foreign Portfolio Holdings of U.S. Long-Term Treasury Securities: Total Regional Orgs.
113235	0	M		NSA	FORSTTREASPOS59994	Foreign Portfolio Holdings of U.S. Short-Term Treasury Securities: Total Africa
